Day,entity_id,Name,observed_primary_sales,observed_intermediary_sales,Observed Transactions,Observed Customers,,,,,,,,,,,,,,,,,,,
4/9/23,SQSP,Squarespace Inc,1337,73286,1385,1294,,,,,,,,,,,,,,,,,,,
4/10/23,SQSP,Squarespace Inc,1769,90709,1660,1535,,,,,,,,,,,,,,,,,,,
4/11/23,SQSP,Squarespace Inc,927,84348,2061,1438,,,,,,,,,,,,,,,,,,,
4/12/23,SQSP,Squarespace Inc,1764,93704,1626,1524,,,,,,,,,,,,,,,,,,,
4/13/23,SQSP,Squarespace Inc,1316,88444,1556,1492,,,,,,,,,,,,,,,,,,,
4/14/23,SQSP,Squarespace Inc,1162,74487,1581,1493,,,,,,,,,,,,,,,,,,,
4/15/23,SQSP,Squarespace Inc,1377,83729,1515,1488,,,,,,,,,,,,,,,,,,,
4/16/23,SQSP,Squarespace Inc,674,71914,1244,1187,,,,,,,,,,,,,,,,,,,
4/17/23,SQSP,Squarespace Inc,1979,72147,1611,1490,,,,,,,,,,,,,,,,,,,
4/18/23,SQSP,Squarespace Inc,1424,78743,1829,1367,,,,,,,,,,,,,,,,,,,
4/19/23,SQSP,Squarespace Inc,1594,96645,1740,1556,,,,,,,,,,,,,,,,,,,
4/20/23,SQSP,Squarespace Inc,2263,87620,1435,1352,,,,,,,,,,,,,,,,,,,
4/21/23,SQSP,Squarespace Inc,1288,96263,1546,1409,,,,,,,,,,,,,,,,,,,
4/22/23,SQSP,Squarespace Inc,2402,89594,1429,1314,,,,,,,,,,,,,,,,,,,
4/23/23,SQSP,Squarespace Inc,748,64577,1316,1279,,,,,,,,,,,,,,,,,,,
4/24/23,SQSP,Squarespace Inc,1937,81586,1811,1510,,,,,,,,,,,,,,,,,,,
4/25/23,SQSP,Squarespace Inc,1856,74762,1366,1318,,,,,,,,,,,,,,,,,,,
4/26/23,SQSP,Squarespace Inc,2122,79225,1513,1451,,,,,,,,,,,,,,,,,,,
4/27/23,SQSP,Squarespace Inc,1912,116108,1884,1644,,,,,,,,,,,,,,,,,,,
4/28/23,SQSP,Squarespace Inc,1016,100957,2200,2130,,,,,,,,,,,,,,,,,,,
4/29/23,SQSP,Squarespace Inc,5556,78460,777,755,,,,,,,,,,,,,,,,,,,
4/30/23,SQSP,Squarespace Inc,2637,73589,1156,1101,,,,,,,,,,,,,,,,,,,
5/1/23,SQSP,Squarespace Inc,2511,171591,2720,2414,,,,,,,,,,,,,,,,,,,
5/2/23,SQSP,Squarespace Inc,3800,141399,2117,1585,,,,,,,,,,,,,,,,,,,
5/3/23,SQSP,Squarespace Inc,2617,86576,1520,1471,,,,,,,,,,,,,,,,,,,
5/4/23,SQSP,Squarespace Inc,1706,113424,1779,1649,,,,,,,,,,,,,,,,,,,
5/5/23,SQSP,Squarespace Inc,1147,83607,1464,1379,,,,,,,,,,,,,,,,,,,
5/6/23,SQSP,Squarespace Inc,1274,59221,1521,1280,,,,,,,,,,,,,,,,,,,
5/7/23,SQSP,Squarespace Inc,2638,72840,1588,1522,,,,,,,,,,,,,,,,,,,
5/8/23,SQSP,Squarespace Inc,1365,82524,1557,1423,,,,,,,,,,,,,,,,,,,
5/9/23,SQSP,Squarespace Inc,3843,88021,1521,1475,,,,,,,,,,,,,,,,,,,
5/10/23,SQSP,Squarespace Inc,4417,84799,1681,1558,,,,,,,,,,,,,,,,,,,
5/11/23,SQSP,Squarespace Inc,1902,83769,1553,1463,,,,,,,,,,,,,,,,,,,
